match_number,stage,team,opponent,match_duration,shirt_number,player,total_distance_m,zone1_distance_m,zone2_distance_m,zone3_distance_m,zone4_distance_m,zone5_distance_m,high_speed_runs,sprints,top_speed_kmh,passes_attempted,passes_completed,pass_completion_pct,switches_of_play,crosses_attempted,crosses_completed,line_breaks_attempted,line_breaks_completed,line_break_completion_pct,ball_progressions,take_ons,step_ins,attempts_at_goal,goals,total_offers,offers_in_front,offers_in_between,offers_out_to_in,offers_in_to_out,offers_in_behind,offers_no_movement,offers_received,tackles_made,tackles_won,blocks,interceptions,pressures_direct,pressures_indirect,duels_won_aerial,duels_won_physical,possession_contests_won,clearances,loose_ball_receptions,pushing_on,pushing_on_into_pressing,possession_regains,possession_interrupted,player_lineup,position,started,minutes,source_url,minutes_source_url,minutes_note,high_intensity_distance_m
102,Semi-final,England,Argentina,90,6,Marc Guehi,9221.7,3992.3,3847.6,929.2,257.2,195.4,79.0,25.0,32.7,56.0,55.0,98.0,0.0,0.0,0.0,7.0,6.0,86.0,0.0,0.0,0.0,0.0,0.0,20.0,3.0,0.0,0.0,0.0,1.0,16.0,12.0,0,0,0.0,1.0,0.0,4.0,1.0,0.0,2.0,4.0,6.0,16.0,3.0,2.0,2.0,Marc Guehi,DF,True,90.0,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M102-ENG-V-ARG.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M102-ENG-V-ARG.pdf,Paired substitution times on the FIFA PMSR team-summary page.,452.6
102,Semi-final,England,Argentina,90,8,Elliot Anderson,10826.6,3889.0,4985.4,1402.8,490.4,58.8,128.0,35.0,27.7,52.0,42.0,81.0,2.0,0.0,0.0,15.0,11.0,73.0,1.0,0.0,1.0,0.0,0.0,35.0,22.0,4.0,0.0,0.0,1.0,8.0,13.0,8,2,2.0,3.0,11.0,24.0,5.0,0.0,5.0,5.0,10.0,50.0,18.0,9.0,4.0,Elliot Anderson,MF,True,90.0,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M102-ENG-V-ARG.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M102-ENG-V-ARG.pdf,Paired substitution times on the FIFA PMSR team-summary page.,549.1999999999999
102,Semi-final,England,Argentina,90,9,Harry Kane,10718.4,4507.4,4407.0,1236.4,402.2,165.3,95.0,27.0,30.0,15.0,9.0,60.0,0.0,1.0,0.0,9.0,5.0,56.0,2.0,1.0,1.0,1.0,0.0,19.0,6.0,10.0,0.0,0.0,3.0,0.0,8.0,2,0,1.0,0.0,3.0,29.0,1.0,0.0,1.0,1.0,2.0,24.0,11.0,1.0,1.0,Harry Kane,FW,True,90.0,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M102-ENG-V-ARG.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M102-ENG-V-ARG.pdf,Paired substitution times on the FIFA PMSR team-summary page.,567.5
102,Semi-final,England,Argentina,90,10,Jude Bellingham,10526.4,4294.5,3619.9,1660.5,684.4,267.1,141.0,58.0,32.2,25.0,21.0,84.0,0.0,0.0,0.0,6.0,5.0,83.0,5.0,3.0,2.0,0.0,0.0,44.0,4.0,20.0,0.0,3.0,15.0,2.0,11.0,2,0,2.0,1.0,9.0,57.0,0.0,1.0,1.0,3.0,5.0,57.0,32.0,3.0,3.0,Jude Bellingham,MF,True,90.0,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M102-ENG-V-ARG.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M102-ENG-V-ARG.pdf,Paired substitution times on the FIFA PMSR team-summary page.,951.5
102,Semi-final,England,Argentina,90,11,Marcus Rashford,777.6,271.3,287.0,134.0,48.3,37.0,12.0,3.0,30.4,1.0,1.0,100.0,0.0,1.0,0.0,1.0,1.0,100.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Marcus Rashford,FW,False,0.0,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M102-ENG-V-ARG.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M102-ENG-V-ARG.pdf,Paired substitution times on the FIFA PMSR team-summary page.,85.3
102,Semi-final,England,Argentina,90,15,Dan Burn,1827.1,833.8,696.8,194.0,53.8,48.7,17.0,6.0,30.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0,0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,Dan Burn,DF,False,8.0,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M102-ENG-V-ARG.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M102-ENG-V-ARG.pdf,Paired substitution times on the FIFA PMSR team-summary page.,102.5
102,Semi-final,England,Argentina,90,17,Morgan Rogers,10995.0,4131.9,4283.7,1768.3,555.3,255.7,147.0,50.0,31.2,11.0,11.0,100.0,0.0,4.0,1.0,7.0,6.0,86.0,4.0,4.0,0.0,1.0,0.0,39.0,2.0,5.0,2.0,2.0,21.0,7.0,7.0,0,0,2.0,0.0,2.0,50.0,0.0,0.0,0.0,0.0,4.0,27.0,21.0,0.0,2.0,Morgan Rogers,MF,True,90.0,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M102-ENG-V-ARG.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M102-ENG-V-ARG.pdf,Paired substitution times on the FIFA PMSR team-summary page.,811.0
102,Semi-final,England,Argentina,90,18,Anthony Gordon,7363.2,3301.8,2227.6,995.0,481.1,357.7,90.0,43.0,35.0,14.0,9.0,64.0,0.0,2.0,0.0,7.0,3.0,43.0,4.0,4.0,0.0,1.0,1.0,32.0,2.0,3.0,3.0,1.0,15.0,8.0,10.0,4,0,1.0,0.0,3.0,33.0,0.0,0.0,0.0,0.0,4.0,25.0,14.0,0.0,1.0,Anthony Gordon,FW,True,72.0,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M102-ENG-V-ARG.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M102-ENG-V-ARG.pdf,Paired substitution times on the FIFA PMSR team-summary page.,838.8
102,Semi-final,England,Argentina,90,22,Ivan Toney,854.0,253.3,310.7,175.7,112.0,2.3,14.0,6.0,25.3,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Ivan Toney,FW,False,0.0,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M102-ENG-V-ARG.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M102-ENG-V-ARG.pdf,Paired substitution times on the FIFA PMSR team-summary page.,114.3
102,Semi-final,England,Argentina,90,24,Reece James,8161.7,3375.3,3164.4,1130.3,391.3,100.5,80.0,27.0,32.9,30.0,27.0,90.0,0.0,3.0,0.0,8.0,5.0,62.0,1.0,1.0,0.0,0.0,0.0,17.0,9.0,1.0,0.0,0.0,3.0,4.0,9.0,1,1,2.0,2.0,0.0,20.0,1.0,0.0,2.0,1.0,5.0,15.0,13.0,3.0,1.0,Reece James,DF,True,82.0,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M102-ENG-V-ARG.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M102-ENG-V-ARG.pdf,Paired substitution times on the FIFA PMSR team-summary page.,491.8
